Wavelength[nm],T% at AOI 0 deg
542,98.88150024
541.5,98.81012726
541,98.73440552
540.5,98.64245605
540,98.55699921
539.5,98.45955658
539,98.36885071
538.5,98.26683044
538,98.19072723
537.5,98.12660217
537,98.07141876
536.5,98.04267883
536,98.0263443
535.5,98.0431366
535,98.06232452
534.5,98.10942841
534,98.18286896
533.5,98.26115417
533,98.36013794
532.5,98.44854736
532,98.54824829
531.5,98.65238953
531,98.72955322
530.5,98.81610107
530,98.88425446
529.5,98.96104431
529,98.99473572
528.5,99.01802826
528,99.04476929
527.5,99.05830383
527,99.04478455
526.5,99.04495239
526,99.02102661
525.5,98.98266602
525,98.95366669
524.5,98.90283203
524,98.83457947
523.5,98.77410126
523,98.69282532
522.5,98.56161499
522,98.45004272
521.5,98.31127167
521,98.15259552
520.5,97.97579956
520,97.81174469
519.5,97.63417053
519,97.46442413
518.5,97.31124878
518,97.16537476
517.5,97.04335022
517,96.96908569
516.5,96.90203094
516,96.86466217
515.5,96.88828278
515,96.94007874
514.5,96.99672699
514,97.08343506
513.5,97.17829132
513,97.2838974
512.5,97.40290833
512,97.52420044
511.5,97.63587952
511,97.74919891
510.5,97.87046051
510,97.96798706
509.5,98.08753967
509,98.19309235
508.5,98.29360199
508,98.4100647
507.5,98.51150513
507,98.60900879
506.5,98.70202637
506,98.79953003
505.5,98.86428833
505,98.91694641
504.5,98.91227722
504,98.89472961
503.5,98.84729004
503,98.77261353
502.5,98.68006897
502,98.56269073
501.5,98.45497131
501,98.33522797
500.5,98.22917938
500,98.15927887
499.5,98.11807251
499,98.09550476
498.5,98.12876892
498,98.18961334
497.5,98.29590607
497,98.39740753
496.5,98.5125885
496,98.63778687
495.5,98.76705933
495,98.86862183
494.5,98.93698883
494,98.99500275
493.5,99.01740265
493,99.04024506
492.5,99.02831268
492,99.00466156
491.5,98.95478821
491,98.94423676
490.5,98.91993713
490,98.87619781
489.5,98.82410431
489,98.75684357
488.5,98.66527557
488,98.56161499
487.5,98.43875122
487,98.30038452
486.5,98.12879181
486,97.96626282
485.5,97.80587769
485,97.64511871
484.5,97.53842163
484,97.46166992
483.5,97.43515015
483,97.49065399
482.5,97.56855011
482,97.74182892
481.5,97.91677856
481,98.12637329
480.5,98.34499359
480,98.55097198
479.5,98.72274017
479,98.8561554
478.5,98.9367218
478,98.99725342
477.5,99.00221252
477,98.96334076
476.5,98.94217682
476,98.8557663
475.5,98.84420013
475,98.79220581
474.5,98.77823639
474,98.76242065
473.5,98.7660675
473,98.77114868
472.5,98.78257751
472,98.75189972
471.5,98.71920013
471,98.67542267
470.5,98.62628937
470,98.57217407
469.5,98.54063416
469,98.52334595
468.5,98.52754211
468,98.53845215
467.5,98.56748962
467,98.6078949
466.5,98.62134552
466,98.61781311
465.5,98.56289673
465,98.47601318
464.5,98.34882355
464,98.15692902
463.5,97.98623657
463,97.81829071
462.5,97.67662811
462,97.57762146
461.5,97.56018829
461,97.62184143
460.5,97.7657547
460,97.94068909
459.5,98.16129303
459,98.39500427
458.5,98.60643005
458,98.76223755
457.5,98.85601044
457,98.89796448
456.5,98.87096405
456,98.81336975
455.5,98.72303772
455,98.63822937
454.5,98.58335876
454,98.51557922
453.5,98.47528076
453,98.465271
452.5,98.43843842
452,98.39922333
451.5,98.34352875
451,98.24266052
450.5,98.13620758
450,98.0138855
449.5,97.92341614
449,97.86773682
448.5,97.85189056
448,97.90185547
447.5,97.96389771
447,98.06344604
446.5,98.13986206
446,98.15018463
445.5,98.10358429
445,97.92196655
444.5,97.68473053
444,97.40019226
443.5,97.06272125
443,96.7706604
442.5,96.55664063
442,96.44340515
441.5,96.44776154
441,96.59383392
440.5,96.82532501
440,97.11854553
439.5,97.40803528
439,97.6285553
438.5,97.75192261
438,97.78898621
437.5,97.75563049
437,97.64157867
436.5,97.51371002
436,97.38858032
435.5,97.27363586
435,97.18939209
434.5,97.12308502
434,97.05218506
433.5,96.94929504
433,96.79854584
432.5,96.57798004
432,96.34298706
431.5,96.09621429
431,95.90924835
430.5,95.77526093
430,95.75305176
429.5,95.83508301
429,95.98552704
428.5,96.13613129
428,96.26708221
427.5,96.28842163
427,96.19069672
426.5,95.96047974
426,95.64835358
425.5,95.30904388
425,94.99913025
424.5,94.76074219
424,94.59513092
423.5,94.55705261
423,94.55258942
422.5,94.56653595
422,94.54792023
421.5,94.47406769
421,94.31332397
420.5,94.08766937
420,93.87658691
419.5,93.69471741
419,93.60889435
418.5,93.60106659
418,93.69504547
417.5,93.86567688
417,94.09855652
416.5,94.29451752
416,94.47545624
415.5,94.61509705
415,94.70585632
414.5,94.7413559
414,94.74341583
413.5,94.66569519
413,94.55958557
412.5,94.39749908
412,94.19589233
411.5,93.91455841
411,93.61956787
410.5,93.27576447
410,92.88865662
409.5,92.47471619
409,92.00040436
408.5,91.54439545
408,91.05926514
407.5,90.65657043
407,90.31325531
406.5,90.07774353
406,89.93603516
405.5,89.8303299
405,89.70122528
404.5,89.50502777
404,89.21292114
403.5,88.75411987
403,88.04660797
402.5,86.84078979
402,84.71756744
401.5,81.12246704
401,75.61226654
400.5,68.01161957
400,58.62236023
399.5,48.38272858
399,38.04444122
398.5,28.94596672
398,21.47863007
397.5,15.56880951
397,11.31358147
396.5,8.268814087
396,6.050348759
395.5,4.470727921
395,3.293925524
394.5,2.431597471
394,1.785529971
393.5,1.295356631
393,0.936372757
392.5,0.667024493
392,0.476073802
391.5,0.340740651
391,0.241334736
390.5,0.170907348
390,0.118979216
389.5,0.078807808
389,0.048679784
388.5,0.027551647
388,0.014111288
387.5,0.006597561
387,0.00336622
386.5,0.001730115
386,0.001242903
385.5,0.000996678
385,0.000685256
384.5,0.000861336
384,0.00083817
383.5,0.000593596
383,0.000731595
382.5,0.000683569
382,0.000832043
381.5,0.000673889
381,0.000780354
380.5,0.000784629
380,0.000523791
379.5,0.000756441
379,0.000910617
378.5,0.000728205
378,0.000867478
377.5,0.000724483
377,0.000722773
376.5,0.000966256
376,0.000725733
375.5,0.000657968
375,0.00088327
374.5,0.000699228
374,0.000731635
373.5,0.000700203
373,0.000968773
372.5,0.000931888
372,0.000778125
371.5,0.000782805
371,0.000807283
370.5,0.000899069
370,0.000970293
369.5,0.000849525
369,0.0008401
368.5,0.001044705
368,0.000635338
367.5,0.000905984
367,0.000968548
366.5,0.000743726
366,0.000795573
365.5,0.000814791
365,0.00098012
