Wavelength[nm],T% at AOI 0 deg
926.5 ,0.00058588
926.0 ,-0.000105568
925.5 ,0.000285262
925.0 ,1.43E-05
924.5 ,0.000294081
924.0 ,0.001401437
923.5 ,-0.000678625
923.0 ,0.000226604
922.5 ,-0.000212249
922.0 ,0.000571507
921.5 ,6.02E-05
921.0 ,-0.000270113
920.5 ,-0.002011626
920.0 ,0.000792327
919.5 ,0.001299377
919.0 ,0.001155966
918.5 ,-0.000558628
918.0 ,0.000405755
917.5 ,-2.25E-05
917.0 ,6.64E-05
916.5 ,0.000778744
916.0 ,0.000907293
915.5 ,-0.000455066
915.0 ,0.000526081
914.5 ,0.000592406
914.0 ,0.000469123
913.5 ,0.00053168
913.0 ,-0.000437693
912.5 ,0.001557287
912.0 ,-0.000414535
911.5 ,0.000614268
911.0 ,-0.000661878
910.5 ,0.000309983
910.0 ,0.000292111
909.5 ,0.001793996
909.0 ,-0.000890347
908.5 ,-4.65E-05
908.0 ,0.000363787
907.5 ,0.000716702
907.0 ,0.001814211
906.5 ,0.000712484
906.0 ,0.001788348
905.5 ,-0.000278053
905.0 ,-0.00011842
904.5 ,-0.000404558
904.0 ,-0.001146507
903.5 ,0.000733083
903.0 ,0.000941823
902.5 ,0.000377089
902.0 ,-0.00174471
901.5 ,-8.42E-05
901.0 ,0.001112823
900.5 ,-0.000615004
900.0 ,0.000143049
899.5 ,0.000271294
899.0 ,0.000251289
898.5 ,-0.000390672
898.0 ,0.000238585
897.5 ,-0.00031234
897.0 ,0.000128441
896.5 ,0.000526634
896.0 ,-0.000385846
895.5 ,-0.000960876
895.0 ,0.000302884
894.5 ,0.000313269
894.0 ,-0.000545625
893.5 ,0.001456133
893.0 ,0.0013273
892.5 ,-0.0007853
892.0 ,-0.000688526
891.5 ,0.000362556
891.0 ,-0.000170998
890.5 ,0.001403237
890.0 ,0.001726939
889.5 ,-0.000994596
889.0 ,0.000247933
888.5 ,-0.000651218
888.0 ,0.000438859
887.5 ,0.000744904
887.0 ,-0.000493239
886.5 ,0.000320264
886.0 ,0.001472851
885.5 ,0.000933522
885.0 ,-0.001427333
884.5 ,-0.000608213
884.0 ,0.000334604
883.5 ,-0.000279241
883.0 ,0.00051225
882.5 ,0.000227128
882.0 ,0.000401919
881.5 ,0.000224831
881.0 ,0.000845088
880.5 ,-0.000267642
880.0 ,-5.02E-05
879.5 ,-0.001372554
879.0 ,0.000435195
878.5 ,-0.000149261
878.0 ,0.000777439
877.5 ,0.000669521
877.0 ,0.000991019
876.5 ,0.000298453
876.0 ,-0.000452274
875.5 ,0.000441422
875.0 ,0.002169202
874.5 ,0.001234379
874.0 ,-0.000397442
873.5 ,-0.000995039
873.0 ,0.002265559
872.5 ,-1.23E-05
872.0 ,0.001425622
871.5 ,0.000330172
871.0 ,-0.00082047
870.5 ,-0.00065154
870.0 ,0.000410717
869.5 ,0.000770616
869.0 ,0.000134864
868.5 ,0.000204631
868.0 ,0.000332162
867.5 ,0.001193162
867.0 ,-0.000543536
866.5 ,0.000504421
866.0 ,0.000617793
865.5 ,0.001793012
865.0 ,0.002037386
864.5 ,0.000448506
864.0 ,-3.55E-05
863.5 ,0.001454179
863.0 ,0.000490954
862.5 ,0.000529588
862.0 ,5.85E-06
861.5 ,0.000357534
861.0 ,-0.000925218
860.5 ,0.00095489
860.0 ,0.000973563
859.5 ,0.000301305
859.0 ,0.000667636
858.5 ,-0.000981685
858.0 ,0.000344375
857.5 ,-0.00017816
857.0 ,0.000112192
856.5 ,0.000379714
856.0 ,0.000696469
855.5 ,-7.49E-05
855.0 ,0.001394222
854.5 ,-0.000125468
854.0 ,-0.000565488
853.5 ,-0.00013053
853.0 ,0.001228407
852.5 ,6.00E-05
852.0 ,-6.35E-05
851.5 ,-0.000159237
851.0 ,-0.000914505
850.5 ,0.000506778
850.0 ,-0.000505566
849.5 ,0.001007623
849.0 ,3.06E-05
848.5 ,0.000416535
848.0 ,0.000229503
847.5 ,0.000778184
847.0 ,-5.50E-05
846.5 ,-1.33E-05
846.0 ,-0.000113579
845.5 ,-5.04E-05
845.0 ,0.00011136
844.5 ,0.000205897
844.0 ,1.80E-05
843.5 ,-8.31E-06
843.0 ,-5.90E-05
842.5 ,1.01E-05
842.0 ,-0.000303257
841.5 ,0.000325887
841.0 ,0.000161309
840.5 ,5.80E-05
840.0 ,-0.000127226
839.5 ,-0.000101352
839.0 ,0.00011585
838.5 ,-6.92E-05
838.0 ,-3.55E-05
837.5 ,0.000126606
837.0 ,2.37E-05
836.5 ,8.75E-05
836.0 ,-0.000208702
835.5 ,-1.31E-06
835.0 ,-8.60E-05
834.5 ,-0.000256141
834.0 ,-0.000190503
833.5 ,-0.000249667
833.0 ,-0.000134945
832.5 ,1.08E-06
832.0 ,-3.91E-05
831.5 ,0.000148717
831.0 ,-0.000104246
830.5 ,5.77E-06
830.0 ,-4.63E-05
829.5 ,-2.37E-05
829.0 ,0.000169421
828.5 ,7.90E-05
828.0 ,-0.000182289
827.5 ,-8.07E-05
827.0 ,0.000122268
826.5 ,-6.43E-05
826.0 ,-7.02E-06
825.5 ,0.000180327
825.0 ,-8.31E-05
824.5 ,-0.000278732
